"","av_lambda","sum_lambda","Taxonomic_group","threat_intensity_log","threat_richness","hmn_pp_v_log","n_habitats","Protected_status","Utilised","Managed","Binomial","loc_id","Body_size_log","length"
"151",-0.014941009,-0.313761193,"Mammals",-3.07316382102625,1,0,1,"No",0,0,"Dicrostonyx_groenlandicus","-111.583333_64.866667",1.73559889969818,21
"152",0.745954629,6.713591662,"Mammals",-1.77706669808984,2,1.67490648927315,6,"No",0,0,"Microtus_pennsylvanicus","-94.083333_61.1",1.56525734342021,9
"153",-0.0132265,-0.277756499,"Mammals",-3.07316382102625,1,0,6,"No",0,0,"Microtus_pennsylvanicus","-111.583333_64.866667",1.56525734342021,21
"154",0.167544656,4.858795021,"Mammals",-3.17367747545805,0,0,6,"No",0,0,"Microtus_pennsylvanicus","-127.333333_65.3",1.56525734342021,29
"155",-0.404814173,-9.715540153,"Mammals",-1.34327092633153,3,2.32878974290284,6,"No",0,0,"Microtus_pennsylvanicus","-114.433333_62.4",1.56525734342021,24
"156",-0.466574286,-4.199168572,"Mammals",-1.77706669808984,2,1.67490648927315,1,"No",0,0,"Lemmus_trimucronatus","-94.083333_61.1",1.84397984447816,9
"157",-0.108068659,-2.269441839,"Mammals",-3.07316382102625,1,0,1,"No",0,0,"Lemmus_trimucronatus","-111.583333_64.866667",1.84397984447816,21
"158",-0.003413467,-0.037548141,"Mammals",-2.68697978031458,1,0,1,"No",0,0,"Lemmus_trimucronatus","-108.166667_68.35",1.84397984447816,11
"159",-0.023518646,-0.211667811,"Mammals",-1.77706669808984,2,1.67490648927315,2,"No",0,0,"Myodes_rutilus","-94.083333_61.1",1.29972515397564,9
"160",0.112491776,2.3623273,"Mammals",-3.07316382102625,1,0,2,"No",0,0,"Myodes_rutilus","-111.583333_64.866667",1.29972515397564,21
"161",0.066643153,1.599435673,"Mammals",-1.34327092633153,3,2.32878974290284,2,"No",0,0,"Myodes_rutilus","-114.433333_62.4",1.29972515397564,24
